activity;time;production_order;material;required_material;purchase_requisition;purchase_order;amount_material
release purchase requisition (2);2022-03-28 12:50:02;{};{};{};{300043};{};{}
release purchase order;2022-03-28 13:22:42;{};{};{};{};{70043};{}
release purchase requisition (1);2022-03-28 16:55:54;{};{};{};{300046};{};{}
convert to purchase order;2022-03-29 11:08:55;{};{};{AM2-540};{300043};{70045};{94}
release purchase order;2022-03-29 16:23:53;{};{};{};{};{70045};{}
release purchase requisition (2);2022-03-29 17:33:56;{};{};{};{300046};{};{}
goods receipt for purchase order;2022-03-29 20:33:10;{};{};{HT-S2011600-7};{};{70043};{94}
goods receipt for purchase order;2022-03-30 08:33:50;{};{};{AM2-540};{};{70045};{94}
convert to purchase order;2022-03-30 09:41:08;{};{};{ACT-BCD};{300046};{70046};{109}
goods receipt for purchase order;2022-03-30 14:22:51;{};{};{HT-MEC9417};{};{70042};{94}
release purchase order;2022-03-30 17:19:05;{};{};{};{};{70046};{}
goods receipt for purchase order;2022-03-31 10:49:59;{};{};{ACT-BCD};{};{70046};{109}
reject purchase order;2022-03-31 11:15:31;{};{};{};{};{70044};{}
goods issue for production order;2022-03-31 15:32:20;{990011};{};{HT-MEC9417};{};{};{94}
create purchase requisition;2022-03-31 15:54:55;{};{};{DPC1018};{300047};{};{436}
release purchase requisition (1);2022-04-01 19:00:44;{};{};{};{300047};{};{}
goods issue for production order;2022-04-04 11:47:38;{990011};{};{HT-S2011600-7};{};{};{94}
release purchase requisition (2);2022-04-04 16:28:06;{};{};{};{300047};{};{}
convert to purchase order;2022-04-04 16:33:33;{};{};{DPC1018};{300047};{70047};{436}
goods issue for production order;2022-04-05 10:15:20;{990011};{};{AM2-540};{};{};{94}
confirm production order;2022-04-05 10:15:20;{990011};{CLIP-ON_MIC};{};{};{};{94}
goods issue for production order;2022-04-05 10:29:27;{990035};{};{ACT-BCD};{};{};{109}
confirm production order;2022-04-05 10:29:27;{990035};{ACT-DCD-11};{};{};{};{109}
goods issue for production order;2022-04-06 12:31:19;{990049};{};{AZ2-742};{};{};{214}
create production order;2022-04-06 13:28:42;{990044};{ACT-DCD-11};{ACT-BCD};{};{};{384}
create purchase requisition;2022-04-06 14:38:57;{};{};{ACT-BCD};{300048};{};{384}
release purchase requisition (1);2022-04-06 17:07:56;{};{};{};{300048};{};{}
create production order;2022-04-07 12:07:35;{990033};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{196}
release purchase order;2022-04-07 17:26:37;{};{};{};{};{70047};{}
release purchase requisition (2);2022-04-08 09:16:55;{};{};{};{300048};{};{}
goods receipt for purchase order;2022-04-08 12:14:05;{};{};{DPC1018};{};{70047};{436}
create purchase requisition;2022-04-11 08:47:45;{};{};{HT-S2011600-7};{300049};{};{196}
release purchase requisition (1);2022-04-11 08:50:03;{};{};{};{300049};{};{}
goods issue for production order;2022-04-11 08:51:43;{990049};{};{HT-MEC0717};{};{};{428}
confirm production order;2022-04-11 08:51:43;{990049};{IBP-120};{};{};{};{214}
convert to purchase order;2022-04-11 09:55:08;{};{};{ACT-BCD};{300048};{70048};{384}
release purchase requisition (2);2022-04-11 10:59:45;{};{};{};{300049};{};{}
release purchase order;2022-04-11 11:02:55;{};{};{};{};{70048};{}
create purchase requisition;2022-04-11 17:29:38;{};{};{AM2-540};{300050};{};{196}
goods receipt for purchase order;2022-04-12 09:14:52;{};{};{ACT-BCD};{};{70048};{384}
release purchase requisition (1);2022-04-12 10:50:59;{};{};{};{300050};{};{}
convert to purchase order;2022-04-12 11:07:37;{};{};{HT-S2011600-7};{300049};{70049};{196}
release purchase requisition (2);2022-04-12 14:07:11;{};{};{};{300050};{};{}
convert to purchase order;2022-04-13 09:38:54;{};{};{AM2-540};{300050};{70050};{196}
create purchase requisition;2022-04-13 17:18:53;{};{};{HT-MEC9417};{300051};{};{196}
release purchase order;2022-04-14 10:25:38;{};{};{};{};{70050};{}
goods issue for production order;2022-04-14 15:11:56;{990044};{};{ACT-BCD};{};{};{384}
confirm production order;2022-04-14 15:11:56;{990044};{ACT-DCD-11};{};{};{};{384}
release purchase requisition (1);2022-04-14 15:41:10;{};{};{};{300051};{};{}
release purchase order;2022-04-14 18:21:46;{};{};{};{};{70049};{}
create production order;2022-04-15 14:19:27;{990017};{ACT-DCD-11};{ACT-BCD};{};{};{265}
goods receipt for purchase order;2022-04-15 15:59:29;{};{};{AM2-540};{};{70050};{196}
goods receipt for purchase order;2022-04-15 16:16:26;{};{};{HT-S2011600-7};{};{70049};{196}
convert to purchase order;2022-04-18 10:43:06;{};{};{HT-MEC9417};{300051};{70051};{196}
create purchase requisition;2022-04-18 10:56:44;{};{};{ACT-BCD};{300052};{};{265}
create production order;2022-04-19 10:49:14;{990048};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{205}
release purchase requisition (1);2022-04-19 15:13:38;{};{};{};{300052};{};{}
convert to purchase order;2022-04-19 16:43:54;{};{};{ACT-BCD};{300052};{70052};{265}
create purchase requisition;2022-04-19 16:54:18;{};{};{AZ2-742};{300053};{};{205}
release purchase order;2022-04-19 18:19:45;{};{};{};{};{70051};{}
create purchase requisition;2022-04-19 18:56:26;{};{};{HT-MEC0717};{300054};{};{410}
goods receipt for purchase order;2022-04-20 09:33:37;{};{};{HT-MEC9417};{};{70051};{196}
goods issue for production order;2022-04-20 13:18:06;{990033};{};{HT-MEC9417};{};{};{196}
release purchase requisition (1);2022-04-20 14:35:18;{};{};{};{300053};{};{}
goods issue for production order;2022-04-20 16:03:22;{990033};{};{HT-S2011600-7};{};{};{196}
release purchase requisition (2);2022-04-20 16:18:17;{};{};{};{300053};{};{}
convert to purchase order;2022-04-20 17:38:34;{};{};{AZ2-742};{300053};{70053};{205}
goods issue for production order;2022-04-21 15:23:52;{990045};{};{DPC1018};{};{};{436}
release purchase order;2022-04-21 16:24:03;{};{};{};{};{70052};{}
goods issue for production order;2022-04-21 17:48:13;{990033};{};{AM2-540};{};{};{196}
confirm production order;2022-04-21 17:48:13;{990033};{CLIP-ON_MIC};{};{};{};{196}
release purchase order;2022-04-21 18:11:01;{};{};{};{};{70053};{}
goods issue for production order;2022-04-22 11:33:43;{990045};{};{DPC1015};{};{};{436}
confirm production order;2022-04-22 11:33:43;{990045};{000000000050066346};{};{};{};{436}
release purchase requisition (1);2022-04-25 10:15:56;{};{};{};{300054};{};{}
goods receipt for purchase order;2022-04-25 10:32:15;{};{};{AZ2-742};{};{70053};{205}
goods receipt for purchase order;2022-04-26 08:29:15;{};{};{ACT-BCD};{};{70052};{265}
create production order;2022-04-26 09:23:13;{990043};{000000000050066346};{DPC1015,DPC1018};{};{};{140}
release purchase requisition (2);2022-04-26 09:43:33;{};{};{};{300054};{};{}
convert to purchase order;2022-04-26 11:29:01;{};{};{HT-MEC0717};{300054};{70054};{410}
create purchase requisition;2022-04-26 16:32:37;{};{};{DPC1015};{300055};{};{140}
create production order;2022-04-26 20:00:38;{990018};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{48}
release purchase requisition (1);2022-04-27 12:49:34;{};{};{};{300055};{};{}
create purchase requisition;2022-04-27 13:50:08;{};{};{DPC1018};{300056};{};{140}
release purchase requisition (2);2022-04-27 15:22:41;{};{};{};{300055};{};{}
create purchase requisition;2022-04-27 18:48:07;{};{};{HT-S2011600-7};{300057};{};{48}
release purchase requisition (1);2022-04-28 09:14:09;{};{};{};{300056};{};{}
release purchase requisition (1);2022-04-28 09:52:03;{};{};{};{300057};{};{}
create purchase requisition;2022-04-28 13:26:57;{};{};{AM2-540};{300058};{};{48}
convert to purchase order;2022-04-28 14:51:46;{};{};{DPC1015};{300055};{70055};{140}
release purchase requisition (2);2022-04-28 15:00:17;{};{};{};{300057};{};{}
convert to purchase order;2022-04-28 19:13:02;{};{};{HT-S2011600-7};{300057};{70056};{48}
release purchase requisition (1);2022-04-29 08:50:21;{};{};{};{300058};{};{}
release purchase requisition (2);2022-04-29 11:58:58;{};{};{};{300056};{};{}
convert to purchase order;2022-04-29 13:26:25;{};{};{DPC1018};{300056};{70057};{140}
release purchase requisition (2);2022-04-29 15:24:15;{};{};{};{300058};{};{}
convert to purchase order;2022-04-29 21:31:04;{};{};{AM2-540};{300058};{70058};{48}
create purchase requisition;2022-05-02 11:03:17;{};{};{HT-MEC9417};{300059};{};{48}
release purchase order;2022-05-02 11:18:33;{};{};{};{};{70058};{}
release purchase order;2022-05-02 13:56:27;{};{};{};{};{70056};{}
release purchase order;2022-05-02 13:56:51;{};{};{};{};{70057};{}
release purchase requisition (1);2022-05-02 15:24:24;{};{};{};{300059};{};{}
release purchase order;2022-05-02 17:16:55;{};{};{};{};{70055};{}
release purchase order;2022-05-03 12:18:21;{};{};{};{};{70054};{}
goods issue for production order;2022-05-03 13:41:22;{990017};{};{ACT-BCD};{};{};{265}
confirm production order;2022-05-03 13:41:22;{990017};{ACT-DCD-11};{};{};{};{265}
release purchase requisition (2);2022-05-03 14:49:02;{};{};{};{300059};{};{}
convert to purchase order;2022-05-03 16:21:31;{};{};{HT-MEC9417};{300059};{70059};{48}
goods receipt for purchase order;2022-05-04 15:29:13;{};{};{HT-S2011600-7};{};{70056};{48}
goods receipt for purchase order;2022-05-04 16:21:11;{};{};{DPC1018};{};{70057};{140}
goods receipt for purchase order;2022-05-04 17:42:32;{};{};{AM2-540};{};{70058};{48}
release purchase order;2022-05-06 11:00:27;{};{};{};{};{70059};{}
goods receipt for purchase order;2022-05-06 16:57:01;{};{};{DPC1015};{};{70055};{140}
goods receipt for purchase order;2022-05-09 09:07:07;{};{};{HT-MEC9417};{};{70059};{48}
goods receipt for purchase order;2022-05-10 08:36:26;{};{};{HT-MEC0717};{};{70054};{410}
goods issue for production order;2022-05-10 11:48:10;{990018};{};{HT-S2011600-7};{};{};{48}
create production order;2022-05-10 11:57:07;{990032};{ACT-DCD-11};{ACT-BCD};{};{};{108}
create purchase requisition;2022-05-10 15:26:07;{};{};{ACT-BCD};{300060};{};{108}
goods issue for production order;2022-05-10 16:28:13;{990018};{};{AM2-540};{};{};{48}
release purchase requisition (1);2022-05-10 17:08:36;{};{};{};{300060};{};{}
release purchase requisition (2);2022-05-10 17:13:45;{};{};{};{300060};{};{}
convert to purchase order;2022-05-11 11:28:53;{};{};{ACT-BCD};{300060};{70060};{108}
goods issue for production order;2022-05-13 08:51:30;{990018};{};{HT-MEC9417};{};{};{48}
confirm production order;2022-05-13 08:51:30;{990018};{CLIP-ON_MIC};{};{};{};{48}
release purchase order;2022-05-16 13:16:41;{};{};{};{};{70060};{}
goods receipt for purchase order;2022-05-17 15:29:40;{};{};{ACT-BCD};{};{70060};{108}
goods issue for production order;2022-05-18 12:03:52;{990048};{};{HT-MEC0717};{};{};{410}
goods issue for production order;2022-05-18 14:55:10;{990048};{};{AZ2-742};{};{};{205}
confirm production order;2022-05-18 14:55:10;{990048};{IBP-120};{};{};{};{205}
goods issue for production order;2022-05-20 15:29:52;{990032};{};{ACT-BCD};{};{};{108}
confirm production order;2022-05-20 15:29:52;{990032};{ACT-DCD-11};{};{};{};{108}
create production order;2022-05-23 21:22:34;{990008};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{186}
create purchase requisition;2022-05-25 13:02:23;{};{};{AZ2-742};{300061};{};{186}
create purchase requisition;2022-05-25 13:15:48;{};{};{HT-MEC0717};{300062};{};{372}
release purchase requisition (1);2022-05-25 15:32:28;{};{};{};{300061};{};{}
goods issue for production order;2022-05-26 16:07:50;{990043};{};{DPC1018};{};{};{140}
release purchase requisition (1);2022-05-26 17:44:21;{};{};{};{300062};{};{}
goods issue for production order;2022-05-27 11:10:36;{990043};{};{DPC1015};{};{};{140}
confirm production order;2022-05-27 11:10:36;{990043};{000000000050066346};{};{};{};{140}
release purchase requisition (2);2022-05-27 15:25:33;{};{};{};{300061};{};{}
convert to purchase order;2022-05-27 16:47:51;{};{};{AZ2-742};{300061};{70061};{186}
release purchase order;2022-05-27 18:27:00;{};{};{};{};{70061};{}
release purchase requisition (2);2022-05-30 11:21:28;{};{};{};{300062};{};{}
goods receipt for purchase order;2022-05-31 16:44:04;{};{};{AZ2-742};{};{70061};{186}
create production order;2022-05-31 17:41:19;{990046};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{20}
convert to purchase order;2022-06-01 16:10:56;{};{};{HT-MEC0717};{300062};{70062};{372}
create production order;2022-06-02 09:49:34;{990006};{ACT-DCD-11};{ACT-BCD};{};{};{29}
create purchase requisition;2022-06-02 13:11:37;{};{};{ACT-BCD};{300063};{};{29}
create purchase requisition;2022-06-02 16:30:26;{};{};{HT-S2011600-7};{300064};{};{20}
goods issue for production order;2022-06-02 18:15:28;{990008};{};{AZ2-742};{};{};{186}
release purchase requisition (1);2022-06-02 21:12:46;{};{};{};{300064};{};{}
create purchase requisition;2022-06-03 09:11:41;{};{};{HT-MEC9417};{300065};{};{20}
release purchase order;2022-06-03 10:16:19;{};{};{};{};{70062};{}
release purchase requisition (1);2022-06-03 10:24:11;{};{};{};{300063};{};{}
release purchase requisition (2);2022-06-03 10:42:48;{};{};{};{300064};{};{}
create purchase requisition;2022-06-03 10:44:18;{};{};{AM2-540};{300066};{};{20}
release purchase requisition (1);2022-06-03 11:15:11;{};{};{};{300065};{};{}
release purchase requisition (1);2022-06-03 14:32:50;{};{};{};{300066};{};{}
goods receipt for purchase order;2022-06-03 15:03:32;{};{};{HT-MEC0717};{};{70062};{372}
release purchase requisition (2);2022-06-06 09:41:15;{};{};{};{300063};{};{}
convert to purchase order;2022-06-06 10:34:31;{};{};{HT-S2011600-7};{300064};{70063};{20}
release purchase order;2022-06-06 12:30:10;{};{};{};{};{70063};{}
release purchase requisition (2);2022-06-06 13:18:11;{};{};{};{300065};{};{}
release purchase requisition (2);2022-06-06 16:25:50;{};{};{};{300066};{};{}
goods receipt for purchase order;2022-06-06 17:20:45;{};{};{HT-S2011600-7};{};{70063};{20}
convert to purchase order;2022-06-06 17:28:30;{};{};{HT-MEC9417};{300065};{70064};{20}
convert to purchase order;2022-06-06 20:23:51;{};{};{ACT-BCD};{300063};{70065};{29}
convert to purchase order;2022-06-07 09:27:28;{};{};{AM2-540};{300066};{70066};{20}
release purchase order;2022-06-07 09:48:56;{};{};{};{};{70064};{}
release purchase order;2022-06-07 15:03:58;{};{};{};{};{70065};{}
goods receipt for purchase order;2022-06-07 21:47:26;{};{};{HT-MEC9417};{};{70064};{20}
goods issue for production order;2022-06-08 09:44:36;{990008};{};{HT-MEC0717};{};{};{372}
confirm production order;2022-06-08 09:44:36;{990008};{IBP-120};{};{};{};{186}
goods receipt for purchase order;2022-06-08 13:21:12;{};{};{ACT-BCD};{};{70065};{29}
release purchase order;2022-06-08 17:20:49;{};{};{};{};{70066};{}
goods issue for production order;2022-06-08 19:25:09;{990046};{};{HT-S2011600-7};{};{};{20}
create production order;2022-06-09 09:56:25;{990030};{000000000050066346};{DPC1015,DPC1018};{};{};{385}
create purchase requisition;2022-06-09 11:53:21;{};{};{DPC1018};{300067};{};{385}
goods issue for production order;2022-06-10 11:53:29;{990046};{};{HT-MEC9417};{};{};{20}
create purchase requisition;2022-06-10 15:39:03;{};{};{DPC1015};{300068};{};{385}
release purchase requisition (1);2022-06-10 16:35:57;{};{};{};{300067};{};{}
release purchase requisition (1);2022-06-10 17:01:17;{};{};{};{300068};{};{}
goods issue for production order;2022-06-10 17:19:26;{990006};{};{ACT-BCD};{};{};{29}
confirm production order;2022-06-10 17:19:26;{990006};{ACT-DCD-11};{};{};{};{29}
goods receipt for purchase order;2022-06-10 21:13:03;{};{};{AM2-540};{};{70066};{20}
release purchase requisition (2);2022-06-13 15:02:08;{};{};{};{300067};{};{}
goods issue for production order;2022-06-14 10:00:57;{990046};{};{AM2-540};{};{};{20}
confirm production order;2022-06-14 10:00:57;{990046};{CLIP-ON_MIC};{};{};{};{20}
release purchase requisition (2);2022-06-14 14:08:30;{};{};{};{300068};{};{}
convert to purchase order;2022-06-15 08:38:56;{};{};{DPC1018};{300067};{70067};{385}
convert to purchase order;2022-06-16 10:50:04;{};{};{DPC1015};{300068};{70068};{385}
release purchase order;2022-06-16 17:01:58;{};{};{};{};{70067};{}
release purchase order;2022-06-20 11:02:01;{};{};{};{};{70068};{}
goods receipt for purchase order;2022-06-21 16:08:18;{};{};{DPC1018};{};{70067};{385}
goods issue for production order;2022-06-22 13:32:06;{990030};{};{DPC1018};{};{};{385}
create production order;2022-06-22 15:50:53;{990022};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{309}
goods receipt for purchase order;2022-06-23 12:48:48;{};{};{DPC1015};{};{70068};{385}
create purchase requisition;2022-06-23 13:25:49;{};{};{AZ2-742};{300069};{};{309}
release purchase requisition (1);2022-06-24 10:23:27;{};{};{};{300069};{};{}
create production order;2022-06-24 17:07:03;{990039};{ACT-DCD-11};{ACT-BCD};{};{};{69}
release purchase requisition (2);2022-06-24 18:41:12;{};{};{};{300069};{};{}
goods issue for production order;2022-06-27 10:21:03;{990030};{};{DPC1015};{};{};{385}
confirm production order;2022-06-27 10:21:03;{990030};{000000000050066346};{};{};{};{385}
convert to purchase order;2022-06-27 11:22:32;{};{};{AZ2-742};{300069};{70069};{309}
create purchase requisition;2022-06-28 16:13:53;{};{};{HT-MEC0717};{300070};{};{618}
create purchase requisition;2022-06-28 18:33:02;{};{};{ACT-BCD};{300071};{};{69}
release purchase order;2022-06-28 18:50:53;{};{};{};{};{70069};{}
release purchase requisition (1);2022-06-29 12:48:38;{};{};{};{300070};{};{}
release purchase requisition (2);2022-06-29 16:45:09;{};{};{};{300070};{};{}
create production order;2022-06-29 17:53:56;{990025};{000000000050066346};{DPC1015,DPC1018};{};{};{17}
convert to purchase order;2022-06-30 10:53:11;{};{};{HT-MEC0717};{300070};{70070};{618}
create purchase requisition;2022-06-30 15:15:02;{};{};{DPC1015};{300072};{};{17}
create purchase requisition;2022-06-30 17:49:57;{};{};{DPC1018};{300073};{};{17}
create production order;2022-07-01 10:06:38;{990027};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{136}
release purchase requisition (1);2022-07-01 10:14:15;{};{};{};{300072};{};{}
release purchase requisition (1);2022-07-01 12:53:21;{};{};{};{300071};{};{}
release purchase order;2022-07-01 15:07:47;{};{};{};{};{70070};{}
release purchase requisition (1);2022-07-01 17:43:16;{};{};{};{300073};{};{}
release purchase requisition (2);2022-07-04 08:35:33;{};{};{};{300072};{};{}
release purchase requisition (2);2022-07-04 10:28:42;{};{};{};{300073};{};{}
convert to purchase order;2022-07-04 11:30:21;{};{};{DPC1018};{300073};{70071};{17}
release purchase requisition (2);2022-07-04 13:08:51;{};{};{};{300071};{};{}
goods receipt for purchase order;2022-07-04 13:12:04;{};{};{HT-MEC0717};{};{70070};{618}
create purchase requisition;2022-07-04 16:00:04;{};{};{AM2-540};{300074};{};{136}
create purchase requisition;2022-07-05 09:29:51;{};{};{HT-S2011600-7};{300075};{};{136}
convert to purchase order;2022-07-05 10:45:22;{};{};{ACT-BCD};{300071};{70072};{69}
create purchase requisition;2022-07-05 12:16:25;{};{};{HT-MEC9417};{300076};{};{136}
release purchase requisition (1);2022-07-05 20:41:00;{};{};{};{300075};{};{}
release purchase order;2022-07-06 09:33:21;{};{};{};{};{70071};{}
goods receipt for purchase order;2022-07-06 09:57:35;{};{};{AZ2-742};{};{70069};{309}
convert to purchase order;2022-07-06 10:33:43;{};{};{DPC1015};{300072};{70073};{17}
release purchase requisition (2);2022-07-06 13:11:34;{};{};{};{300075};{};{}
release purchase requisition (1);2022-07-06 13:14:24;{};{};{};{300074};{};{}
convert to purchase order;2022-07-06 16:13:02;{};{};{HT-S2011600-7};{300075};{70074};{136}
release purchase requisition (1);2022-07-07 16:03:52;{};{};{};{300076};{};{}
release purchase requisition (2);2022-07-07 17:08:20;{};{};{};{300074};{};{}
release purchase requisition (2);2022-07-08 08:22:49;{};{};{};{300076};{};{}
goods issue for production order;2022-07-08 13:19:49;{990022};{};{HT-MEC0717};{};{};{618}
convert to purchase order;2022-07-08 17:53:40;{};{};{HT-MEC9417};{300076};{70075};{136}
convert to purchase order;2022-07-11 09:24:37;{};{};{AM2-540};{300074};{70076};{136}
release purchase order;2022-07-11 13:28:04;{};{};{};{};{70075};{}
goods receipt for purchase order;2022-07-11 20:36:51;{};{};{HT-MEC9417};{};{70075};{136}
release purchase order;2022-07-11 20:54:55;{};{};{};{};{70073};{}
goods issue for production order;2022-07-12 10:27:54;{990027};{};{HT-MEC9417};{};{};{136}
release purchase order;2022-07-12 16:39:38;{};{};{};{};{70072};{}
goods issue for production order;2022-07-13 10:22:38;{990022};{};{AZ2-742};{};{};{309}
confirm production order;2022-07-13 10:22:38;{990022};{IBP-120};{};{};{};{309}
goods receipt for purchase order;2022-07-13 12:21:48;{};{};{DPC1015};{};{70073};{17}
goods receipt for purchase order;2022-07-13 13:21:45;{};{};{DPC1018};{};{70071};{17}
goods receipt for purchase order;2022-07-14 17:10:58;{};{};{ACT-BCD};{};{70072};{69}
goods issue for production order;2022-07-15 10:21:42;{990025};{};{DPC1015};{};{};{17}
release purchase order;2022-07-15 11:18:01;{};{};{};{};{70074};{}
goods receipt for purchase order;2022-07-18 13:43:47;{};{};{HT-S2011600-7};{};{70074};{136}
goods issue for production order;2022-07-18 15:17:46;{990039};{};{ACT-BCD};{};{};{69}
confirm production order;2022-07-18 15:17:46;{990039};{ACT-DCD-11};{};{};{};{69}
release purchase order;2022-07-19 09:32:08;{};{};{};{};{70076};{}
create production order;2022-07-19 11:49:58;{990014};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{443}
goods issue for production order;2022-07-19 12:37:34;{990027};{};{HT-S2011600-7};{};{};{136}
goods receipt for purchase order;2022-07-19 19:24:50;{};{};{AM2-540};{};{70076};{136}
goods issue for production order;2022-07-20 17:19:24;{990025};{};{DPC1018};{};{};{17}
confirm production order;2022-07-20 17:19:24;{990025};{000000000050066346};{};{};{};{17}
goods issue for production order;2022-07-21 14:39:34;{990027};{};{AM2-540};{};{};{136}
confirm production order;2022-07-21 14:39:34;{990027};{CLIP-ON_MIC};{};{};{};{136}
create purchase requisition;2022-07-21 18:24:23;{};{};{AZ2-742};{300077};{};{443}
create purchase requisition;2022-07-22 11:59:57;{};{};{HT-MEC0717};{300078};{};{886}
release purchase requisition (1);2022-07-22 14:10:36;{};{};{};{300077};{};{}
create production order;2022-07-22 14:34:22;{990026};{ACT-DCD-11};{ACT-BCD};{};{};{452}
create purchase requisition;2022-07-25 12:18:59;{};{};{ACT-BCD};{300079};{};{452}
release purchase requisition (1);2022-07-25 14:40:03;{};{};{};{300079};{};{}
release purchase requisition (2);2022-07-25 16:54:15;{};{};{};{300077};{};{}
release purchase requisition (2);2022-07-25 19:06:06;{};{};{};{300079};{};{}
release purchase requisition (1);2022-07-25 20:05:06;{};{};{};{300078};{};{}
create production order;2022-07-26 09:03:22;{990038};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{84}
release purchase requisition (2);2022-07-26 09:14:03;{};{};{};{300078};{};{}
convert to purchase order;2022-07-26 09:36:07;{};{};{HT-MEC0717};{300078};{70077};{886}
create purchase requisition;2022-07-26 11:25:15;{};{};{HT-MEC9417};{300080};{};{84}
release purchase requisition (1);2022-07-27 12:12:38;{};{};{};{300080};{};{}
convert to purchase order;2022-07-27 15:48:34;{};{};{AZ2-742};{300077};{70078};{443}
convert to purchase order;2022-07-28 11:19:58;{};{};{ACT-BCD};{300079};{70079};{452}
convert to purchase order;2022-07-28 12:35:08;{};{};{HT-MEC9417};{300080};{70080};{84}
release purchase order;2022-07-29 09:14:26;{};{};{};{};{70077};{}
create purchase requisition;2022-08-01 09:21:29;{};{};{AM2-540};{300081};{};{84}
release purchase order;2022-08-01 15:27:15;{};{};{};{};{70078};{}
release purchase requisition (1);2022-08-01 17:08:50;{};{};{};{300081};{};{}
release purchase order;2022-08-02 10:48:57;{};{};{};{};{70080};{}
create purchase requisition;2022-08-02 16:00:18;{};{};{HT-S2011600-7};{300082};{};{84}
release purchase requisition (2);2022-08-02 17:46:23;{};{};{};{300081};{};{}
convert to purchase order;2022-08-03 08:59:24;{};{};{AM2-540};{300081};{70081};{84}
goods receipt for purchase order;2022-08-03 10:20:33;{};{};{HT-MEC0717};{};{70077};{886}
release purchase order;2022-08-03 11:54:40;{};{};{};{};{70079};{}
reject purchase order;2022-08-04 12:49:18;{};{};{};{};{70081};{}
goods issue for production order;2022-08-04 17:11:54;{990014};{};{HT-MEC0717};{};{};{886}
create purchase requisition;2022-08-05 17:27:35;{};{};{AM2-540};{300083};{};{84}
goods receipt for purchase order;2022-08-05 18:06:49;{};{};{AZ2-742};{};{70078};{443}
release purchase requisition (1);2022-08-08 11:31:03;{};{};{};{300082};{};{}
release purchase requisition (1);2022-08-08 15:34:04;{};{};{};{300083};{};{}
goods receipt for purchase order;2022-08-09 16:28:48;{};{};{ACT-BCD};{};{70079};{452}
goods issue for production order;2022-08-10 09:51:09;{990026};{};{ACT-BCD};{};{};{452}
confirm production order;2022-08-10 09:51:09;{990026};{ACT-DCD-11};{};{};{};{452}
goods receipt for purchase order;2022-08-10 12:38:20;{};{};{HT-MEC9417};{};{70080};{84}
goods issue for production order;2022-08-10 15:02:43;{990014};{};{AZ2-742};{};{};{443}
confirm production order;2022-08-10 15:02:43;{990014};{IBP-120};{};{};{};{443}
release purchase requisition (2);2022-08-10 15:53:34;{};{};{};{300082};{};{}
release purchase requisition (2);2022-08-10 18:35:49;{};{};{};{300083};{};{}
convert to purchase order;2022-08-11 14:34:40;{};{};{HT-S2011600-7};{300082};{70082};{84}
reject purchase order;2022-08-11 16:47:01;{};{};{};{};{70082};{}
create purchase requisition;2022-08-12 12:29:27;{};{};{HT-S2011600-7};{300084};{};{84}
release purchase requisition (1);2022-08-12 15:41:42;{};{};{};{300084};{};{}
convert to purchase order;2022-08-12 20:20:25;{};{};{AM2-540};{300083};{70083};{84}
release purchase requisition (2);2022-08-15 10:23:11;{};{};{};{300084};{};{}
goods issue for production order;2022-08-17 11:10:52;{990038};{};{HT-MEC9417};{};{};{84}
convert to purchase order;2022-08-17 15:24:01;{};{};{HT-S2011600-7};{300084};{70084};{84}
release purchase order;2022-08-17 15:57:02;{};{};{};{};{70083};{}
release purchase order;2022-08-18 16:14:39;{};{};{};{};{70084};{}
goods receipt for purchase order;2022-08-18 16:36:56;{};{};{HT-S2011600-7};{};{70084};{84}
goods issue for production order;2022-08-18 20:25:56;{990038};{};{HT-S2011600-7};{};{};{84}
goods receipt for purchase order;2022-08-19 10:27:58;{};{};{AM2-540};{};{70083};{84}
create production order;2022-08-19 16:05:04;{990007};{000000000050066346};{DPC1015,DPC1018};{};{};{227}
create purchase requisition;2022-08-23 13:05:39;{};{};{DPC1018};{300085};{};{227}
create purchase requisition;2022-08-25 10:20:52;{};{};{DPC1015};{300086};{};{227}
release purchase requisition (1);2022-08-26 10:54:52;{};{};{};{300085};{};{}
release purchase requisition (1);2022-08-26 13:40:07;{};{};{};{300086};{};{}
goods issue for production order;2022-08-30 16:21:07;{990038};{};{AM2-540};{};{};{84}
confirm production order;2022-08-30 16:21:07;{990038};{CLIP-ON_MIC};{};{};{};{84}
release purchase requisition (2);2022-08-31 11:07:23;{};{};{};{300085};{};{}
convert to purchase order;2022-08-31 15:20:51;{};{};{DPC1018};{300085};{70085};{227}
release purchase requisition (2);2022-09-01 10:57:23;{};{};{};{300086};{};{}
create production order;2022-09-01 14:45:50;{990050};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{27}
convert to purchase order;2022-09-01 17:37:55;{};{};{DPC1015};{300086};{70086};{227}
