activity;time;production_order;material;required_material;purchase_requisition;purchase_order;amount_material
convert to purchase order;2022-03-17 14:19:35;{};{};{HT-S2011600-7};{300046};{70047};{135}
goods receipt for purchase order;2022-03-17 19:17:13;{};{};{ACT-BCD};{};{70043};{297}
goods issue for production order;2022-03-18 10:41:48;{990046};{};{AZ2-742};{};{};{212}
release purchase order;2022-03-18 10:42:43;{};{};{};{};{70046};{}
goods issue for production order;2022-03-18 15:06:47;{990046};{};{HT-MEC0717};{};{};{424}
confirm production order;2022-03-18 15:06:47;{990046};{IBP-120};{};{};{};{212}
goods receipt for purchase order;2022-03-18 19:05:07;{};{};{AM2-540};{};{70046};{135}
reject purchase order;2022-03-21 09:56:07;{};{};{};{};{70045};{}
goods issue for production order;2022-03-21 12:01:11;{990038};{};{DPC1015};{};{};{62}
goods issue for production order;2022-03-21 12:24:53;{990012};{};{ACT-BCD};{};{};{297}
confirm production order;2022-03-21 12:24:53;{990012};{ACT-DCD-11};{};{};{};{297}
create purchase requisition;2022-03-21 13:28:42;{};{};{HT-MEC9417};{300048};{};{135}
release purchase requisition (1);2022-03-21 13:35:12;{};{};{};{300048};{};{}
release purchase requisition (2);2022-03-21 21:30:21;{};{};{};{300048};{};{}
convert to purchase order;2022-03-22 12:12:40;{};{};{HT-MEC9417};{300048};{70048};{135}
goods issue for production order;2022-03-22 13:33:37;{990038};{};{DPC1018};{};{};{62}
confirm production order;2022-03-22 13:33:37;{990038};{000000000050066346};{};{};{};{62}
release purchase order;2022-03-22 17:46:05;{};{};{};{};{70048};{}
create production order;2022-03-23 08:34:30;{990030};{ACT-DCD-11};{ACT-BCD};{};{};{11}
goods receipt for purchase order;2022-03-23 10:41:08;{};{};{HT-MEC9417};{};{70048};{135}
create purchase requisition;2022-03-23 12:24:26;{};{};{ACT-BCD};{300049};{};{11}
release purchase requisition (1);2022-03-23 15:07:38;{};{};{};{300049};{};{}
reject purchase order;2022-03-24 09:53:22;{};{};{};{};{70047};{}
goods issue for production order;2022-03-24 15:03:18;{990049};{};{HT-MEC9417};{};{};{135}
create purchase requisition;2022-03-24 15:11:30;{};{};{HT-S2011600-7};{300050};{};{135}
release purchase requisition (2);2022-03-24 16:25:36;{};{};{};{300049};{};{}
release purchase requisition (1);2022-03-25 12:07:49;{};{};{};{300050};{};{}
goods issue for production order;2022-03-25 16:39:09;{990049};{};{AM2-540};{};{};{135}
convert to purchase order;2022-03-28 15:44:56;{};{};{ACT-BCD};{300049};{70049};{11}
release purchase requisition (2);2022-03-29 08:27:50;{};{};{};{300050};{};{}
convert to purchase order;2022-03-29 09:45:27;{};{};{HT-S2011600-7};{300050};{70050};{135}
reject purchase order;2022-03-30 09:58:06;{};{};{};{};{70049};{}
create purchase requisition;2022-03-30 21:04:08;{};{};{ACT-BCD};{300051};{};{11}
release purchase requisition (1);2022-03-31 13:03:47;{};{};{};{300051};{};{}
release purchase requisition (2);2022-04-01 18:32:50;{};{};{};{300051};{};{}
convert to purchase order;2022-04-04 12:02:46;{};{};{ACT-BCD};{300051};{70051};{11}
release purchase order;2022-04-04 17:13:25;{};{};{};{};{70050};{}
goods receipt for purchase order;2022-04-05 08:28:22;{};{};{HT-S2011600-7};{};{70050};{135}
release purchase order;2022-04-06 17:17:12;{};{};{};{};{70051};{}
create production order;2022-04-07 09:14:35;{990022};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{174}
create purchase requisition;2022-04-07 14:19:10;{};{};{AZ2-742};{300052};{};{174}
release purchase requisition (1);2022-04-07 16:11:14;{};{};{};{300052};{};{}
create purchase requisition;2022-04-07 18:20:46;{};{};{HT-MEC0717};{300053};{};{348}
release purchase requisition (1);2022-04-08 08:39:06;{};{};{};{300053};{};{}
release purchase requisition (2);2022-04-08 11:36:08;{};{};{};{300053};{};{}
convert to purchase order;2022-04-08 13:43:44;{};{};{HT-MEC0717};{300053};{70052};{348}
create production order;2022-04-08 14:13:01;{990015};{000000000050066346};{DPC1015,DPC1018};{};{};{215}
create purchase requisition;2022-04-08 16:27:37;{};{};{DPC1015};{300054};{};{215}
release purchase requisition (2);2022-04-08 18:27:54;{};{};{};{300052};{};{}
create purchase requisition;2022-04-11 12:35:43;{};{};{DPC1018};{300055};{};{215}
convert to purchase order;2022-04-11 16:22:47;{};{};{AZ2-742};{300052};{70053};{174}
release purchase order;2022-04-11 16:27:53;{};{};{};{};{70053};{}
goods issue for production order;2022-04-11 17:01:50;{990049};{};{HT-S2011600-7};{};{};{135}
confirm production order;2022-04-11 17:01:50;{990049};{CLIP-ON_MIC};{};{};{};{135}
release purchase requisition (1);2022-04-12 10:01:55;{};{};{};{300054};{};{}
release purchase order;2022-04-12 15:12:03;{};{};{};{};{70052};{}
release purchase requisition (2);2022-04-12 16:20:37;{};{};{};{300054};{};{}
release purchase requisition (1);2022-04-12 16:32:31;{};{};{};{300055};{};{}
goods receipt for purchase order;2022-04-12 16:47:32;{};{};{HT-MEC0717};{};{70052};{348}
goods receipt for purchase order;2022-04-13 11:38:30;{};{};{ACT-BCD};{};{70051};{11}
goods receipt for purchase order;2022-04-13 13:14:02;{};{};{AZ2-742};{};{70053};{174}
release purchase requisition (2);2022-04-13 13:37:51;{};{};{};{300055};{};{}
goods issue for production order;2022-04-13 16:12:06;{990030};{};{ACT-BCD};{};{};{11}
confirm production order;2022-04-13 16:12:06;{990030};{ACT-DCD-11};{};{};{};{11}
convert to purchase order;2022-04-13 16:55:00;{};{};{DPC1018};{300055};{70054};{215}
convert to purchase order;2022-04-14 10:06:29;{};{};{DPC1015};{300054};{70055};{215}
release purchase order;2022-04-15 09:41:47;{};{};{};{};{70055};{}
release purchase order;2022-04-15 09:58:53;{};{};{};{};{70054};{}
goods receipt for purchase order;2022-04-15 11:30:25;{};{};{DPC1018};{};{70054};{215}
goods receipt for purchase order;2022-04-18 13:47:24;{};{};{DPC1015};{};{70055};{215}
goods issue for production order;2022-04-19 14:45:49;{990015};{};{DPC1018};{};{};{215}
create production order;2022-04-19 15:58:31;{990017};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{137}
create purchase requisition;2022-04-19 19:45:28;{};{};{AM2-540};{300056};{};{137}
create purchase requisition;2022-04-20 10:05:40;{};{};{HT-S2011600-7};{300057};{};{137}
release purchase requisition (1);2022-04-20 11:53:52;{};{};{};{300056};{};{}
create purchase requisition;2022-04-20 13:41:21;{};{};{HT-MEC9417};{300058};{};{137}
release purchase requisition (1);2022-04-20 17:05:32;{};{};{};{300057};{};{}
release purchase requisition (2);2022-04-21 08:57:09;{};{};{};{300056};{};{}
release purchase requisition (2);2022-04-21 09:29:17;{};{};{};{300057};{};{}
release purchase requisition (1);2022-04-21 09:44:32;{};{};{};{300058};{};{}
convert to purchase order;2022-04-22 11:30:13;{};{};{HT-S2011600-7};{300057};{70056};{137}
release purchase requisition (2);2022-04-22 17:39:10;{};{};{};{300058};{};{}
convert to purchase order;2022-04-22 17:42:27;{};{};{HT-MEC9417};{300058};{70057};{137}
goods issue for production order;2022-04-25 10:05:10;{990015};{};{DPC1015};{};{};{215}
confirm production order;2022-04-25 10:05:10;{990015};{000000000050066346};{};{};{};{215}
release purchase order;2022-04-25 12:54:38;{};{};{};{};{70056};{}
convert to purchase order;2022-04-25 15:54:25;{};{};{AM2-540};{300056};{70058};{137}
create production order;2022-04-26 08:32:24;{990026};{000000000050066346};{DPC1015,DPC1018};{};{};{58}
reject purchase order;2022-04-26 09:24:10;{};{};{};{};{70058};{}
create purchase requisition;2022-04-26 11:53:41;{};{};{DPC1018};{300059};{};{58}
create purchase requisition;2022-04-26 16:09:31;{};{};{DPC1015};{300060};{};{58}
create production order;2022-04-26 19:44:28;{990041};{ACT-DCD-11};{ACT-BCD};{};{};{233}
create purchase requisition;2022-04-27 11:34:37;{};{};{AM2-540};{300061};{};{137}
release purchase requisition (1);2022-04-27 12:52:08;{};{};{};{300060};{};{}
release purchase order;2022-04-27 13:04:22;{};{};{};{};{70057};{}
release purchase requisition (1);2022-04-27 20:42:21;{};{};{};{300059};{};{}
release purchase requisition (1);2022-04-28 08:53:22;{};{};{};{300061};{};{}
create purchase requisition;2022-04-28 09:03:35;{};{};{ACT-BCD};{300062};{};{233}
goods receipt for purchase order;2022-04-28 12:12:40;{};{};{HT-MEC9417};{};{70057};{137}
goods receipt for purchase order;2022-04-29 09:04:04;{};{};{HT-S2011600-7};{};{70056};{137}
goods issue for production order;2022-04-29 09:24:30;{990017};{};{HT-MEC9417};{};{};{137}
release purchase requisition (2);2022-04-29 10:00:06;{};{};{};{300060};{};{}
release purchase requisition (2);2022-04-29 10:02:12;{};{};{};{300061};{};{}
release purchase requisition (2);2022-04-29 14:21:52;{};{};{};{300059};{};{}
release purchase requisition (1);2022-04-29 14:52:23;{};{};{};{300062};{};{}
convert to purchase order;2022-04-29 15:33:46;{};{};{AM2-540};{300061};{70059};{137}
convert to purchase order;2022-04-29 16:48:47;{};{};{DPC1018};{300059};{70060};{58}
convert to purchase order;2022-04-29 17:45:41;{};{};{DPC1015};{300060};{70061};{58}
release purchase order;2022-05-02 13:54:20;{};{};{};{};{70059};{}
goods receipt for purchase order;2022-05-02 18:09:37;{};{};{AM2-540};{};{70059};{137}
goods issue for production order;2022-05-02 20:35:04;{990017};{};{HT-S2011600-7};{};{};{137}
release purchase requisition (2);2022-05-03 12:42:33;{};{};{};{300062};{};{}
release purchase order;2022-05-03 16:18:41;{};{};{};{};{70060};{}
convert to purchase order;2022-05-03 16:53:01;{};{};{ACT-BCD};{300062};{70062};{233}
goods issue for production order;2022-05-04 10:09:30;{990022};{};{AZ2-742};{};{};{174}
goods issue for production order;2022-05-04 10:59:07;{990022};{};{HT-MEC0717};{};{};{348}
confirm production order;2022-05-04 10:59:07;{990022};{IBP-120};{};{};{};{174}
create production order;2022-05-05 16:33:16;{990042};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{92}
release purchase order;2022-05-05 17:17:26;{};{};{};{};{70062};{}
goods issue for production order;2022-05-06 09:54:12;{990017};{};{AM2-540};{};{};{137}
confirm production order;2022-05-06 09:54:12;{990017};{CLIP-ON_MIC};{};{};{};{137}
goods receipt for purchase order;2022-05-06 15:57:22;{};{};{ACT-BCD};{};{70062};{233}
create purchase requisition;2022-05-06 18:06:18;{};{};{AZ2-742};{300063};{};{92}
create purchase requisition;2022-05-09 11:15:07;{};{};{HT-MEC0717};{300064};{};{184}
release purchase requisition (1);2022-05-09 15:47:48;{};{};{};{300064};{};{}
reject purchase order;2022-05-09 17:10:24;{};{};{};{};{70061};{}
release purchase requisition (1);2022-05-10 08:12:08;{};{};{};{300063};{};{}
create production order;2022-05-10 14:47:51;{990050};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{333}
create purchase requisition;2022-05-10 14:48:56;{};{};{DPC1015};{300065};{};{58}
release purchase requisition (1);2022-05-10 16:06:19;{};{};{};{300065};{};{}
release purchase requisition (2);2022-05-10 20:12:59;{};{};{};{300065};{};{}
release purchase requisition (2);2022-05-11 09:35:32;{};{};{};{300063};{};{}
convert to purchase order;2022-05-11 10:58:55;{};{};{DPC1015};{300065};{70063};{58}
release purchase requisition (2);2022-05-11 12:23:08;{};{};{};{300064};{};{}
goods receipt for purchase order;2022-05-11 14:21:53;{};{};{DPC1018};{};{70060};{58}
release purchase order;2022-05-11 17:02:46;{};{};{};{};{70063};{}
convert to purchase order;2022-05-11 17:37:32;{};{};{HT-MEC0717};{300064};{70064};{184}
convert to purchase order;2022-05-11 18:06:18;{};{};{AZ2-742};{300063};{70065};{92}
goods receipt for purchase order;2022-05-12 16:56:13;{};{};{DPC1015};{};{70063};{58}
create purchase requisition;2022-05-12 17:18:10;{};{};{AM2-540};{300066};{};{333}
create purchase requisition;2022-05-13 08:32:08;{};{};{HT-S2011600-7};{300067};{};{333}
create purchase requisition;2022-05-13 09:56:28;{};{};{HT-MEC9417};{300068};{};{333}
release purchase requisition (1);2022-05-13 11:18:02;{};{};{};{300066};{};{}
goods issue for production order;2022-05-13 12:32:58;{990026};{};{DPC1015};{};{};{58}
release purchase requisition (1);2022-05-13 16:28:54;{};{};{};{300068};{};{}
goods issue for production order;2022-05-16 10:22:00;{990026};{};{DPC1018};{};{};{58}
confirm production order;2022-05-16 10:22:00;{990026};{000000000050066346};{};{};{};{58}
release purchase requisition (2);2022-05-16 11:15:36;{};{};{};{300066};{};{}
release purchase requisition (1);2022-05-16 16:15:32;{};{};{};{300067};{};{}
release purchase requisition (2);2022-05-17 09:31:54;{};{};{};{300067};{};{}
convert to purchase order;2022-05-17 10:13:21;{};{};{AM2-540};{300066};{70066};{333}
release purchase requisition (2);2022-05-17 12:33:37;{};{};{};{300068};{};{}
convert to purchase order;2022-05-17 12:34:27;{};{};{HT-MEC9417};{300068};{70067};{333}
release purchase order;2022-05-17 13:51:23;{};{};{};{};{70064};{}
reject purchase order;2022-05-17 15:05:58;{};{};{};{};{70065};{}
goods receipt for purchase order;2022-05-18 15:57:25;{};{};{HT-MEC0717};{};{70064};{184}
create purchase requisition;2022-05-18 22:04:59;{};{};{AZ2-742};{300069};{};{92}
release purchase requisition (1);2022-05-19 12:03:58;{};{};{};{300069};{};{}
convert to purchase order;2022-05-19 13:21:33;{};{};{HT-S2011600-7};{300067};{70068};{333}
release purchase order;2022-05-19 16:44:39;{};{};{};{};{70067};{}
goods issue for production order;2022-05-20 09:10:37;{990041};{};{ACT-BCD};{};{};{233}
confirm production order;2022-05-20 09:10:37;{990041};{ACT-DCD-11};{};{};{};{233}
goods receipt for purchase order;2022-05-23 09:13:00;{};{};{HT-MEC9417};{};{70067};{333}
release purchase requisition (2);2022-05-23 12:12:02;{};{};{};{300069};{};{}
convert to purchase order;2022-05-24 13:22:15;{};{};{AZ2-742};{300069};{70069};{92}
release purchase order;2022-05-25 10:43:06;{};{};{};{};{70068};{}
reject purchase order;2022-05-25 10:53:40;{};{};{};{};{70066};{}
create purchase requisition;2022-05-25 12:17:02;{};{};{AM2-540};{300070};{};{333}
release purchase order;2022-05-25 17:12:16;{};{};{};{};{70069};{}
release purchase requisition (1);2022-05-25 20:16:47;{};{};{};{300070};{};{}
goods receipt for purchase order;2022-05-27 16:24:25;{};{};{HT-S2011600-7};{};{70068};{333}
release purchase requisition (2);2022-05-27 17:04:35;{};{};{};{300070};{};{}
convert to purchase order;2022-05-27 18:54:22;{};{};{AM2-540};{300070};{70070};{333}
goods receipt for purchase order;2022-05-30 12:47:52;{};{};{AZ2-742};{};{70069};{92}
reject purchase order;2022-05-30 16:45:21;{};{};{};{};{70070};{}
create purchase requisition;2022-05-31 12:22:27;{};{};{AM2-540};{300071};{};{333}
release purchase requisition (1);2022-05-31 15:49:15;{};{};{};{300071};{};{}
release purchase requisition (2);2022-05-31 17:34:11;{};{};{};{300071};{};{}
goods issue for production order;2022-05-31 17:47:36;{990042};{};{HT-MEC0717};{};{};{184}
create production order;2022-05-31 17:55:53;{990005};{000000000050066346};{DPC1015,DPC1018};{};{};{477}
goods issue for production order;2022-06-01 10:06:36;{990042};{};{AZ2-742};{};{};{92}
confirm production order;2022-06-01 10:06:36;{990042};{IBP-120};{};{};{};{92}
convert to purchase order;2022-06-01 10:37:21;{};{};{AM2-540};{300071};{70071};{333}
create purchase requisition;2022-06-01 13:44:33;{};{};{DPC1015};{300072};{};{477}
reject purchase order;2022-06-02 16:25:51;{};{};{};{};{70071};{}
create purchase requisition;2022-06-03 09:56:33;{};{};{DPC1018};{300073};{};{477}
release purchase requisition (1);2022-06-03 15:45:12;{};{};{};{300073};{};{}
release purchase requisition (1);2022-06-03 16:06:51;{};{};{};{300072};{};{}
release purchase requisition (2);2022-06-03 17:09:59;{};{};{};{300073};{};{}
create purchase requisition;2022-06-03 17:45:31;{};{};{AM2-540};{300074};{};{333}
convert to purchase order;2022-06-06 14:28:19;{};{};{DPC1018};{300073};{70072};{477}
create production order;2022-06-06 16:11:01;{990006};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{88}
release purchase requisition (1);2022-06-06 16:33:42;{};{};{};{300074};{};{}
release purchase requisition (2);2022-06-07 09:48:25;{};{};{};{300072};{};{}
release purchase requisition (2);2022-06-07 09:53:01;{};{};{};{300074};{};{}
create purchase requisition;2022-06-07 11:21:14;{};{};{AZ2-742};{300075};{};{88}
convert to purchase order;2022-06-07 12:12:22;{};{};{AM2-540};{300074};{70073};{333}
convert to purchase order;2022-06-07 14:57:30;{};{};{DPC1015};{300072};{70074};{477}
create production order;2022-06-07 15:24:06;{990010};{ACT-DCD-11};{ACT-BCD};{};{};{296}
release purchase order;2022-06-07 15:25:07;{};{};{};{};{70073};{}
release purchase order;2022-06-07 15:52:57;{};{};{};{};{70072};{}
create purchase requisition;2022-06-07 16:13:30;{};{};{HT-MEC0717};{300076};{};{176}
create purchase requisition;2022-06-07 19:43:40;{};{};{ACT-BCD};{300077};{};{296}
release purchase requisition (1);2022-06-08 09:33:56;{};{};{};{300076};{};{}
release purchase requisition (1);2022-06-09 08:38:41;{};{};{};{300075};{};{}
release purchase requisition (2);2022-06-09 10:53:13;{};{};{};{300076};{};{}
release purchase requisition (1);2022-06-09 11:53:50;{};{};{};{300077};{};{}
release purchase requisition (2);2022-06-09 15:44:30;{};{};{};{300077};{};{}
release purchase requisition (2);2022-06-09 17:04:44;{};{};{};{300075};{};{}
convert to purchase order;2022-06-09 17:11:58;{};{};{AZ2-742};{300075};{70075};{88}
goods receipt for purchase order;2022-06-09 17:35:41;{};{};{AM2-540};{};{70073};{333}
convert to purchase order;2022-06-10 13:47:42;{};{};{HT-MEC0717};{300076};{70076};{176}
goods receipt for purchase order;2022-06-10 14:53:52;{};{};{DPC1018};{};{70072};{477}
release purchase order;2022-06-10 15:16:26;{};{};{};{};{70076};{}
release purchase order;2022-06-10 16:02:00;{};{};{};{};{70074};{}
release purchase order;2022-06-13 08:21:07;{};{};{};{};{70075};{}
goods issue for production order;2022-06-13 11:28:33;{990005};{};{DPC1018};{};{};{477}
goods receipt for purchase order;2022-06-13 12:02:39;{};{};{HT-MEC0717};{};{70076};{176}
goods receipt for purchase order;2022-06-13 13:56:31;{};{};{AZ2-742};{};{70075};{88}
goods receipt for purchase order;2022-06-13 16:01:36;{};{};{DPC1015};{};{70074};{477}
convert to purchase order;2022-06-13 16:20:29;{};{};{ACT-BCD};{300077};{70077};{296}
release purchase order;2022-06-14 13:30:19;{};{};{};{};{70077};{}
goods issue for production order;2022-06-14 15:00:09;{990006};{};{AZ2-742};{};{};{88}
goods receipt for purchase order;2022-06-14 17:24:54;{};{};{ACT-BCD};{};{70077};{296}
goods issue for production order;2022-06-15 11:21:15;{990006};{};{HT-MEC0717};{};{};{176}
confirm production order;2022-06-15 11:21:15;{990006};{IBP-120};{};{};{};{88}
goods issue for production order;2022-06-17 11:47:43;{990010};{};{ACT-BCD};{};{};{296}
confirm production order;2022-06-17 11:47:43;{990010};{ACT-DCD-11};{};{};{};{296}
create production order;2022-06-17 16:46:33;{990007};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{468}
create production order;2022-06-20 09:53:03;{990034};{ACT-DCD-11};{ACT-BCD};{};{};{358}
goods issue for production order;2022-06-20 11:19:24;{990050};{};{HT-MEC9417};{};{};{333}
create purchase requisition;2022-06-20 14:14:34;{};{};{HT-MEC0717};{300078};{};{936}
goods issue for production order;2022-06-20 16:36:47;{990050};{};{HT-S2011600-7};{};{};{333}
goods issue for production order;2022-06-21 09:47:03;{990005};{};{DPC1015};{};{};{477}
confirm production order;2022-06-21 09:47:03;{990005};{000000000050066346};{};{};{};{477}
goods issue for production order;2022-06-21 10:39:38;{990050};{};{AM2-540};{};{};{333}
confirm production order;2022-06-21 10:39:38;{990050};{CLIP-ON_MIC};{};{};{};{333}
release purchase requisition (1);2022-06-21 12:04:23;{};{};{};{300078};{};{}
create purchase requisition;2022-06-21 14:43:17;{};{};{ACT-BCD};{300079};{};{358}
create purchase requisition;2022-06-21 16:57:21;{};{};{AZ2-742};{300080};{};{468}
release purchase requisition (1);2022-06-22 10:06:18;{};{};{};{300080};{};{}
release purchase requisition (2);2022-06-22 10:47:49;{};{};{};{300080};{};{}
release purchase requisition (2);2022-06-22 12:46:40;{};{};{};{300078};{};{}
release purchase requisition (1);2022-06-22 15:03:01;{};{};{};{300079};{};{}
convert to purchase order;2022-06-22 15:07:04;{};{};{AZ2-742};{300080};{70078};{468}
release purchase order;2022-06-23 10:00:25;{};{};{};{};{70078};{}
goods receipt for purchase order;2022-06-23 10:21:57;{};{};{AZ2-742};{};{70078};{468}
release purchase requisition (2);2022-06-23 11:02:43;{};{};{};{300079};{};{}
convert to purchase order;2022-06-24 11:49:22;{};{};{ACT-BCD};{300079};{70079};{358}
convert to purchase order;2022-06-24 21:12:19;{};{};{HT-MEC0717};{300078};{70080};{936}
release purchase order;2022-06-27 08:59:54;{};{};{};{};{70080};{}
release purchase order;2022-06-27 15:03:10;{};{};{};{};{70079};{}
create production order;2022-06-29 10:19:03;{990016};{CLIP-ON_MIC};{HT-MEC9417,HT-S2011600-7,AM2-540};{};{};{220}
goods receipt for purchase order;2022-06-29 12:54:34;{};{};{HT-MEC0717};{};{70080};{936}
goods receipt for purchase order;2022-06-29 17:33:56;{};{};{ACT-BCD};{};{70079};{358}
create purchase requisition;2022-06-29 18:11:29;{};{};{HT-S2011600-7};{300081};{};{220}
create purchase requisition;2022-06-30 12:05:35;{};{};{AM2-540};{300082};{};{220}
goods issue for production order;2022-06-30 12:35:26;{990034};{};{ACT-BCD};{};{};{358}
confirm production order;2022-06-30 12:35:26;{990034};{ACT-DCD-11};{};{};{};{358}
release purchase requisition (1);2022-06-30 14:01:47;{};{};{};{300082};{};{}
release purchase requisition (1);2022-06-30 15:53:55;{};{};{};{300081};{};{}
create production order;2022-06-30 16:26:56;{990048};{000000000050066346};{DPC1015,DPC1018};{};{};{304}
release purchase requisition (2);2022-06-30 17:04:11;{};{};{};{300082};{};{}
convert to purchase order;2022-07-01 11:56:11;{};{};{AM2-540};{300082};{70081};{220}
release purchase requisition (2);2022-07-01 17:00:00;{};{};{};{300081};{};{}
convert to purchase order;2022-07-04 09:07:52;{};{};{HT-S2011600-7};{300081};{70082};{220}
create production order;2022-07-04 09:44:34;{990023};{ACT-DCD-11};{ACT-BCD};{};{};{44}
create purchase requisition;2022-07-05 14:53:25;{};{};{HT-MEC9417};{300083};{};{220}
release purchase requisition (1);2022-07-05 15:57:42;{};{};{};{300083};{};{}
release purchase order;2022-07-06 09:18:56;{};{};{};{};{70081};{}
create purchase requisition;2022-07-06 10:05:14;{};{};{DPC1018};{300084};{};{304}
create purchase requisition;2022-07-06 10:28:50;{};{};{DPC1015};{300085};{};{304}
release purchase requisition (1);2022-07-06 15:31:08;{};{};{};{300085};{};{}
release purchase requisition (2);2022-07-06 15:55:23;{};{};{};{300083};{};{}
convert to purchase order;2022-07-07 11:04:22;{};{};{HT-MEC9417};{300083};{70083};{220}
create purchase requisition;2022-07-07 11:19:25;{};{};{ACT-BCD};{300086};{};{44}
release purchase requisition (1);2022-07-07 14:07:01;{};{};{};{300084};{};{}
goods issue for production order;2022-07-07 14:53:26;{990007};{};{HT-MEC0717};{};{};{936}
release purchase order;2022-07-07 15:25:57;{};{};{};{};{70082};{}
release purchase requisition (1);2022-07-07 15:57:11;{};{};{};{300086};{};{}
goods issue for production order;2022-07-07 16:17:17;{990007};{};{AZ2-742};{};{};{468}
confirm production order;2022-07-07 16:17:17;{990007};{IBP-120};{};{};{};{468}
release purchase requisition (2);2022-07-08 09:08:56;{};{};{};{300086};{};{}
release purchase requisition (2);2022-07-08 10:30:10;{};{};{};{300085};{};{}
release purchase requisition (2);2022-07-08 17:02:53;{};{};{};{300084};{};{}
goods receipt for purchase order;2022-07-11 12:33:10;{};{};{AM2-540};{};{70081};{220}
convert to purchase order;2022-07-11 16:15:01;{};{};{DPC1015};{300085};{70084};{304}
reject purchase order;2022-07-11 18:44:56;{};{};{};{};{70084};{}
create purchase requisition;2022-07-12 11:53:02;{};{};{DPC1015};{300087};{};{304}
convert to purchase order;2022-07-12 15:03:57;{};{};{DPC1018};{300084};{70085};{304}
goods issue for production order;2022-07-13 08:45:09;{990016};{};{AM2-540};{};{};{220}
release purchase requisition (1);2022-07-13 09:43:27;{};{};{};{300087};{};{}
release purchase order;2022-07-13 20:12:20;{};{};{};{};{70085};{}
convert to purchase order;2022-07-14 10:58:47;{};{};{ACT-BCD};{300086};{70086};{44}
goods receipt for purchase order;2022-07-14 11:07:30;{};{};{HT-S2011600-7};{};{70082};{220}
release purchase order;2022-07-14 12:34:52;{};{};{};{};{70083};{}
release purchase requisition (2);2022-07-14 12:35:53;{};{};{};{300087};{};{}
convert to purchase order;2022-07-14 12:47:07;{};{};{DPC1015};{300087};{70087};{304}
goods receipt for purchase order;2022-07-15 15:57:26;{};{};{HT-MEC9417};{};{70083};{220}
release purchase order;2022-07-15 16:05:51;{};{};{};{};{70086};{}
goods receipt for purchase order;2022-07-15 18:00:21;{};{};{DPC1018};{};{70085};{304}
goods issue for production order;2022-07-15 20:34:51;{990048};{};{DPC1018};{};{};{304}
create production order;2022-07-18 13:21:47;{990009};{IBP-120};{AZ2-742,HT-MEC0717};{};{};{12}
reject purchase order;2022-07-18 15:38:00;{};{};{};{};{70087};{}
create purchase requisition;2022-07-18 17:36:46;{};{};{DPC1015};{300088};{};{304}
goods issue for production order;2022-07-18 18:00:00;{990016};{};{HT-MEC9417};{};{};{220}
goods receipt for purchase order;2022-07-20 12:04:51;{};{};{ACT-BCD};{};{70086};{44}
release purchase requisition (1);2022-07-20 12:18:43;{};{};{};{300088};{};{}
release purchase requisition (2);2022-07-21 09:51:13;{};{};{};{300088};{};{}
create purchase requisition;2022-07-21 15:54:53;{};{};{HT-MEC0717};{300089};{};{24}
create purchase requisition;2022-07-22 08:58:03;{};{};{AZ2-742};{300090};{};{12}
convert to purchase order;2022-07-22 16:14:21;{};{};{DPC1015};{300088};{70088};{304}
release purchase requisition (1);2022-07-22 17:26:05;{};{};{};{300090};{};{}
release purchase order;2022-07-25 08:29:11;{};{};{};{};{70088};{}
goods issue for production order;2022-07-25 11:13:48;{990023};{};{ACT-BCD};{};{};{44}
confirm production order;2022-07-25 11:13:48;{990023};{ACT-DCD-11};{};{};{};{44}
release purchase requisition (1);2022-07-25 12:00:48;{};{};{};{300089};{};{}
goods issue for production order;2022-07-25 14:42:20;{990016};{};{HT-S2011600-7};{};{};{220}
confirm production order;2022-07-25 14:42:20;{990016};{CLIP-ON_MIC};{};{};{};{220}
goods receipt for purchase order;2022-07-25 15:39:50;{};{};{DPC1015};{};{70088};{304}
release purchase requisition (2);2022-07-26 16:52:50;{};{};{};{300090};{};{}
release purchase requisition (2);2022-07-27 10:04:17;{};{};{};{300089};{};{}
convert to purchase order;2022-07-27 12:05:11;{};{};{AZ2-742};{300090};{70089};{12}
convert to purchase order;2022-07-27 18:41:54;{};{};{HT-MEC0717};{300089};{70090};{24}
goods issue for production order;2022-07-29 13:59:46;{990048};{};{DPC1015};{};{};{304}
confirm production order;2022-07-29 13:59:46;{990048};{000000000050066346};{};{};{};{304}
reject purchase order;2022-07-29 15:35:55;{};{};{};{};{70089};{}
release purchase order;2022-08-02 15:10:54;{};{};{};{};{70090};{}
create purchase requisition;2022-08-03 11:37:19;{};{};{AZ2-742};{300091};{};{12}
release purchase requisition (1);2022-08-04 11:27:11;{};{};{};{300091};{};{}
release purchase requisition (2);2022-08-04 18:24:48;{};{};{};{300091};{};{}
goods receipt for purchase order;2022-08-05 11:57:40;{};{};{HT-MEC0717};{};{70090};{24}
create production order;2022-08-10 14:10:55;{990035};{ACT-DCD-11};{ACT-BCD};{};{};{187}
